"","DivPosts$X","DivPosts$X.11","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","Sentiment","SentimentScore"
"20","UWaterloo Health","RT @uwaterloohealth : Through @stp_greenhouse, recent @UWaterlooSPHS Health Studies alumni Charlotte Ogalesco and Lindsay Krahn were part of an interdisciplinary team that created an online resource hub called Transition Space for youth to navigate the adult disability system: https://t.co/KGUNyHR1dA https://t.co/1OIE69WAce",1,1,0,1,1,1,1,2,1,1,"neutral",0
"21","University of Waterloo","Manh-Kien Tran, a Chemical Engineering PhD student is building a smart cloud-based battery management system with a focus on lithium-ion batteries.

Read his story: https://t.co/a1TXczKXwl | #UWaterloo #UWaterlooEng https://t.co/Kz7yJKvdC5",1,0,0,0,0,0,0,2,1,3,"positive",2
"22","University of Waterloo","There have been 943 Nobel Prize winners in the last century. Only 58 of them are women. Last Tuesday, Canadian Nobel Laureate, Donna Strickland was featured in the @nytimes crossword.

Read more about her and the 57 women who have also won the Nobel Prize: https://t.co/TQTn09TduG https://t.co/1uBEZ2sf4L",0,0,0,0,0,0,0,1,0,1,"positive",1
"23","University of Waterloo",".@UWaterloo is pleased to announce that our 2022 Spring Convocation ceremonies will take place in person. We're also excited to share that the Convocation Celebrations for the classes of 2020 and 2021 will take place in person.

More: https://t.co/Pmyd8PTr2g | #UWaterlooGrad ???? https://t.co/GKV2kOmeks",0,2,0,0,3,0,1,2,0,3,"positive",3
"24","University of Waterloo","@Laurier #UWaterloo sends its deepest condolences to Stephen’s friends and family and to the Laurier community.",0,0,0,0,0,0,0,0,0,1,"positive",1
"25","University of Waterloo",".@FredSwaniker joins the #UWaterlooSummit on April 14 as keynote speaker followed by a fireside chat with @DrJoannaNewman. Together, they will discuss what it takes to catalyze a new generation of ethical, #entrepreneurial leaders. 

Register here: https://t.co/ypM7rHUg6e https://t.co/QQjUz3O2Zx",0,0,0,0,0,0,0,0,0,2,"positive",2
"26","University of Waterloo",".@onlinekyne explains what #Pi is on @YourMorning! 
@WaterlooMath #PiDay https://t.co/7XxRmkx8LN",0,0,0,0,0,0,0,0,0,0,"neutral",0
"27","University of Waterloo","Happy #PiDay! ?? https://t.co/fjS1POymd9",0,1,0,0,1,0,0,1,0,1,"positive",1
"28","University of Waterloo","RT @UWaterloo : Madeline Schizas competed at the #Beijing2022 Winter #Olympics recording a personal best of 69.60 points in the women’s short program portion. She lifted #Canada to fourth from sixth and moved the country into the five-team final round.

?? https://t.co/2z7W00X5tx | #UWaterloo https://t.co/Pp95HXqpkv",0,0,0,0,0,0,0,2,0,0,"neutral",0
"29","Ontario's Universities","RT @OntUniv : To help identify COVID-19 variants before they emerge, a team of researchers at @UWaterloo have developed an #AI-based software that can help predict and identify the most likely mutations of SARS-CoV-2 pathogens. #ONpoli
https://t.co/9kqOAVrXWF",0,1,0,0,0,0,0,1,0,0,"neutral",0
"30","University of Waterloo","#UWaterloo researchers at @UWaterloo's Centre for Eye and Vision Research are developing new technologies to deliver sight-saving drugs to the eye.

Read more: https://t.co/hISdI1DQFj https://t.co/vKGqZTk82U",0,1,0,0,0,0,0,0,0,1,"positive",1
"31","University of Waterloo","Madeline Schizas competed at the #Beijing2022 Winter #Olympics recording a personal best of 69.60 points in the women’s short program portion. She lifted #Canada to fourth from sixth and moved the country into the five-team final round.

?? https://t.co/2z7W00X5tx | #UWaterloo https://t.co/Pp95HXqpkv",0,0,0,0,0,0,0,2,0,0,"neutral",0
"32","University of Waterloo","Eugenia Dadzie, a master’s student from the Department of Biology won this year's @UWaterlooGSPA #GRADflix competition for her video Microbes and Enzymes: Sustainable plastic degradation!

Read here story: https://t.co/ibsvdupd3l | @WaterlooSci https://t.co/VSCpKZPI7M",0,1,0,0,0,0,0,0,2,1,"negative",-1
"33","University of Waterloo","On the @uwdailybulletin podcast #BeyondtheBulletin, @envwaterloo student and @TeamCanada figure skater @MaddieSchizas discusses her first #Olympics and balancing #skating and her @UWaterloo studies. 

More: https://t.co/oiDTw89WDp https://t.co/wmkN6l2YVT",0,0,0,0,0,0,0,0,0,0,"neutral",0
"34","UWaterloo News","RT @UWaterlooNews : The war in Ukraine is having impact upon many in our #UWaterlooCommunity. Here's further details on @UWaterloo’s response in the wake of the Russian invasion in Ukraine.

Read more: https://t.co/yWaIsiRgkU | #UWaterlooNews https://t.co/SQENZqoGeK",1,0,0,1,0,0,0,0,2,0,"negative",-2
"35","University of Waterloo","More people will have access to education at #UWaterloo through a $2 million gift from The Joyce Family Foundation. #UWaterloo students facing barriers to higher education will have a new resource to help them achieve their goals.

??https://t.co/dTI3tTdhWg | #UWaterlooCommunity https://t.co/dC4mn0M6pN",0,1,0,0,2,0,1,1,0,3,"positive",3
"36","Vivek Goel","RT @UWaterlooPres : We will maintain our current mask-wearing requirement until at least the end of the Winter term. It is our hope that this helps minimize uncertainty and disruption and continues to support our students, staff, faculty and University community. https://t.co/U7BHpKrZWp",1,2,0,1,1,0,2,2,2,4,"positive",2
"37","University of Waterloo","At #UWaterloo, to minimize the potential for disruption to the end of the term schedule and exams, we will maintain our current mask-wearing requirement until at least the end of the Winter term.

Learn more: https://t.co/TKo0diUEuH https://t.co/gfwsIqDXgg",1,0,0,1,0,0,1,0,2,1,"negative",-1
"38","University of Waterloo","Yesterday the Chief Medical Officer of Health for @ONgov shared an update and statement on changes to the mandatory masking requirement. From March 21, the province will lift the mandatory masking requirement in most settings, including post-secondary institutions.",0,1,0,1,0,0,0,3,0,5,"positive",5
"39","Waterloo Mathematics","RT @WaterlooMath : Celebrate #PiDay with a virtual #MathDeansLecture! Hear bout the future of #UWaterloo math, and learn from @anita_layton about how math is being used in critical drug discovery and development.
Register: https://t.co/eVVIpMBfeC https://t.co/xulL7TGrm6",1,0,0,0,0,0,0,0,1,2,"positive",1
"40","UWaterloo News","RT @UWaterlooNews : Q and A with the experts: War and the threat to Canada. 

#UWaterloo professor Veronica Kitchen answers questions about Canadian security in a more dangerous world. 

Read more: https://t.co/Aq15Tpf4D6 | #UWaterlooNews https://t.co/KFiAtPRapW",1,0,0,3,0,0,0,1,3,1,"negative",-2
"41","University of Waterloo","Danielle Rose's #startup @CeragenGrow is a #biotech company that is innovating #Canadian agriculture and has the potential to transform the global agriculture sector.

Read her story: https://t.co/3ANzLM4uKR | @WaterlooSci #UWaterloo https://t.co/cX3AilWNQD",0,0,0,0,0,0,0,0,0,1,"positive",1
"42","University of Waterloo","Frances Westley is the J.W. McConnell Chair of Social #Innovation at @UWaterloo. Listen to her as she discusses what it takes to be a successful system-level activist on 'The New Human Movement' podcast. 

More: https://t.co/m3hhz4mRVM | @FastCompany @siguw
 #UWaterloo",0,1,0,0,1,0,0,3,0,3,"positive",3
"43","University of Waterloo","We will give you a hint: https://t.co/eZbRt7PndI https://t.co/qKSBinMfZG",0,0,0,0,0,0,0,0,0,0,"neutral",0
"44","Institute for Quantum Computing (IQC)","RT @QuantumIQC : Last year was first-rate for Canadian research excellence. William Slofstra, IQC and @WaterlooMath professor, was a recipient of the @SloanFoundation research fellowship for his work on the mathematics of #quantum computing. https://t.co/HfAlTXpfLs https://t.co/I7QYSFKXyc",0,1,1,0,1,0,0,2,0,3,"positive",3
"45","University of Waterloo",".@StackhouseJohn, SVP in the Office of the CEO at RBC, and national best-selling author, shares his insights on the critical path to building a lasting economic legacy that will create opportunity and success for all at #UWaterlooSummit.
 
 Register today: https://t.co/ypM7rIbj8e https://t.co/zhyHW6lShb",0,2,0,0,2,0,0,1,0,5,"positive",5
"46","Waterloo Environment","RT @envwaterloo : Jean Andrey, Dean of Environment, shares a story about growing up in rural Ontario and how playing softball helped her #BreaktheBias. Read more inspiring stories in our #IWD2022 feature. 

@womensday @UWaterloo @uwdailybulletin 
Read more: https://t.co/WXrvLpFyHf https://t.co/MyA07ezq2t",0,0,0,0,0,0,0,0,0,1,"positive",1
"47","University of Waterloo","Keynote speaker for #UWaterloo’s International Women’s Day event Emily Mills reflects on her journey as a Black entrepreneur and the future of women during post-pandemic recovery.

Read her story: https://t.co/FAMeejdCTw | #IWD2022 https://t.co/2LnM2j4Zou",0,1,0,2,1,2,0,0,2,3,"positive",1
"48","UWaterloo News","RT @UWaterlooNews : Q and A with the experts: Women’s role in a democracy this International Women’s Day.

#UWaterloo professor Anna Drake answers questions about the role women play in a democracy.

Read more: https://t.co/ns9YUzkiVu | #IWD2022 #UWaterlooNews https://t.co/EVsvgl13EX",0,0,0,0,0,0,0,1,0,2,"positive",2
"49","University of Waterloo","#HappyInternationalWomensDay! Today, we observe and celebrate women's social, economic, cultural, and political achievements. In honour of this day, here are a few stories of #UWaterlooWomen doing extraordinary things. 

Find their stories here: https://t.co/aNP6iWLEFb https://t.co/o3dqu2TqXH",0,0,0,0,0,0,0,0,0,1,"positive",1
"50","UWaterloo Alumni","RT @uwaterlooalumni : With #IWD2022 coming up tomorrow, re-discover seven exceptional Waterloo alumni breaking gender-based barriers!

From climate policy, entrepreneurship, STEM and innovative inventions, these women are sure to inspire ? https://t.co/Srp3c6L5ds

@UWaterloo #uwaterlooalumni https://t.co/GvL95WQXgH",0,3,0,0,1,0,0,2,0,1,"positive",1
"51","University of Waterloo","Canada Research Chair Ian Goldberg sees privacy as a precondition for freedom, dignity, and autonomy. His work focuses on how privacy and #cybersecurity can foster 21st Century #democracy.

Read more: https://t.co/CL4a0U2M4l | #UWaterloo https://t.co/IFyz5nI56f",0,0,0,0,1,0,0,2,0,3,"positive",3
"52","Political Science at UWaterloo","RT @PSCIuWaterloo : ?? The uWaterloo Political Science Student's Association is organizing an event on the Russo-Ukrainian War with speakers @ALanoszka and Tanya Richardson (@LaurierArts) on the evening of 7 March.

To register, follow the link: https://t.co/G3VmyjMjL6 https://t.co/hK2BLxUJD1",0,0,0,1,0,0,0,1,1,1,"neutral",0
"53","University of Waterloo","Be sure to exercise caution if travelling in @WaterlooRegion overnight and into the morning as adverse weather conditions have been forecasted. ????

For any updates on campus closures, our #UWaterloo weather statement page is updated by 6am each day: https://t.co/NZmwugjT1K https://t.co/5994fPl13f",2,1,1,2,0,1,0,1,2,1,"negative",-1
"54","University of Waterloo","Join @UWaterloo as we celebrate #InternationalWomensDay through a virtual keynote and panel discussion on March 8th. 

Together, we will explore new opportunities to engage women and racialized communities in our post-pandemic economy.

Register here: https://t.co/CaHst81fmo https://t.co/xrGEOAvLd0",0,1,0,1,0,1,0,1,1,4,"positive",3
"55","Vivek Goel","RT @UWaterlooPres : (1/4) A terrible tragedy is unfolding before the world.?@UWaterloo and all of academia play a vital role in preserving democracy by offering a safe place for free inquiry. The unprovoked assault on Ukraine and its people represents an assault on democracy and these values. https://t.co/QfIPOkng0k",2,1,1,3,1,2,0,2,3,4,"positive",1
"56","University of Waterloo","#WelcomeBackWarriors! We wanted to know how our faculty are feeling now that they're back on campus and doing in-person teaching. Again, their responses delighted us! Huge thank you to Prof. Erin O'Connell of @envwaterloo and Prof. Andrew Houston of @uwaterlooARTS. ???? https://t.co/QgSyc3V2AS",1,2,1,1,2,1,2,2,1,3,"positive",2
"57","Indigenous Relations | EDI-R | SVPRO @UWaterloo","RT @uwaterlooHREI : The Office of Indigenous Relations is excited to release the second edition of Indigenous Connections, our seasonal newsletter!

??Read the Winter 2021-2022 edition &amp; subscribe: https://t.co/728nX0MIxo https://t.co/rvcxyOY1a7",0,3,0,0,1,0,1,1,0,1,"positive",1
"58","University of Waterloo","Snapcommerce started out hiring two #UWaterloo co-op students in their first year of business and now employ between 15 to 20 #UWaterloo students per term.

Learn how co-op students are playing an integral role at @snaptravel: https://t.co/k18FfYK0Ex https://t.co/YsgjFHrzPC",0,0,0,0,0,0,0,1,0,1,"positive",1
"59","Vivek Goel","RT @UWaterlooPres : The pandemic has laid bare critical gaps and deficiencies in our health care systems. Health-care leaders must respect the increasing data literacy and digital expertise of Canadians, and improve our systems to match their expectations.

https://t.co/LVBMCjLTX0",0,2,0,1,2,1,0,3,1,3,"positive",2
"60","Mike Harris","RT @mikeharrisjrpc : Great news for @RegionWaterloo post-secondary students! Ontario is investing $13.8M at @UWaterloo, @ConestogaC, and @Laurier to help provide a modern and safe learning environment for students, faculty, and staff, both virtually and on campus.
Learn More: https://t.co/wY0GhCWXRl https://t.co/OayCOzhhmM",0,0,0,0,1,0,0,3,0,5,"positive",5
"61","UWaterloo Kinesiology and Health Sciences","RT @UWaterlooKHS : ??Attention educators: Registration is live for Kinesiology Lab Days! #UWaterlooKHS is offering asynchronous and synchronous Kinesiology labs for Gr. 11/12 students and the synchronous lab registration comes with a prize pack for your class! Learn more: https://t.co/ZlJJPNSVOq https://t.co/5QCNbj7YtM",0,0,0,0,0,0,0,1,0,2,"positive",2
"62","University of Waterloo","#UWaterloo celebrates the remarkable experiences of our Black alumni. Meet 15 Black alumni impacting the world today, and the story behind their journeys.

More: https://t.co/WGEpskZLz6 | #BlackHistoryMonth #UWaterlooAlumni https://t.co/kF6Kyq0khK",0,0,0,0,1,1,1,1,1,1,"neutral",0
"63","Ontario Accessibility","RT @ONAccessibility : #ICYMI: Ontario is investing in 14 projects through the EnAbling Change Program to help people understand the value and benefits of accessibility, and its importance to people with disabilities.

Learn more: https://t.co/bn3KsRgWOI

#Accessibility https://t.co/zXrTao9j8D",0,1,0,1,0,0,0,0,0,2,"positive",2
"64","University of Waterloo","How do you spot language meant to escalate emotions and polarize people? 

@robdanisch's article in the @ConversationCA explores seven ways to spot polarizing language and how to choose responsibly to share content online or in person.

Read more: https://t.co/OLFVt2g2NO https://t.co/7n3lopijWc",1,1,0,0,2,0,0,2,1,2,"positive",1
"65","University of Waterloo GEDI","RT @uwaterlooGEDI : In recognition of International Women’s Day, we are excited to announce our next webinar! On March 22 at 1pm, GEDI Exchange members @HyivyHealth and Cosm Medical will discuss how technology is making a difference in women’s pelvic health. Register now: https://t.co/u7xkJqZiU7",0,2,0,1,1,0,1,3,0,5,"positive",5
"66","University of Waterloo","Three #UWaterloo alumni are the recipients of one of Canada’s most prestigious academic awards: @SchulichLeaders Scholarships. Now in its 10th year, the program empowers people to fulfill their ambitions and, in doing so, make an impact on the world.

??https://t.co/haJVymzuGp https://t.co/ryDLOo629i",0,0,0,0,1,0,0,1,0,2,"positive",2
"67","University of Waterloo","The Waterloo Innovation Summit returns on April 14 for a half-day virtual event. The conversation will focus on the need for leaders, policy-makers and innovators to respond and adapt to a rapidly evolving talent landscape.

Register: https://t.co/NAckEXUVl4 | #UWaterlooSummit https://t.co/zCLLZSqYGS",0,0,0,0,0,0,0,1,0,4,"positive",4
"68","UWaterloo Alumni","RT @uwaterlooalumni : Join us in celebrating our Black alumni! From artistry to forging communities of support, these alumni are shaping the histories of tomorrow.

Discover 15 of our Black alumni impacting the world today ? https://t.co/Krom1c6nhR

#blackhistorymonth #uwaterlooalumni #uwaterloo https://t.co/61NRYNSQ7T",0,2,0,0,1,1,0,0,1,2,"positive",1
"69","University of Waterloo","Join @UWaterloo as we celebrate #InternationalWomensDay through a virtual keynote and panel discussion on March 8th. 

Together, we will explore new opportunities to engage women and racialized communities in our post-pandemic economy.

Register here: https://t.co/CaHst81fmo https://t.co/fySqqrm886",0,1,0,1,0,1,0,1,1,4,"positive",3
"70","University of Waterloo","#UWaterloo will have a pop-up booster clinic on campus tomorrow at 9:30AM-11:30AM. The clinic will be located in the Student Life Centre basement area, in the old W Store Location.

No appointment is required. Any questions please email coronavirus@uwaterloo.ca https://t.co/yrSeUj3fRx",0,2,0,0,0,0,1,0,1,1,"neutral",0
"71","University of Waterloo","An interdisciplinary team of #UWaterloo alumni and researchers develop an AI-powered surveillance system for future pandemics. 

Read this story: https://t.co/tDE4wgJ3OU https://t.co/X3H6ZuJy8m",0,1,0,1,0,0,0,2,0,1,"positive",1
"72","University of Waterloo","Tomorrow, we expect the @ONgov to move to the Exit Step of its Roadmap to Reopen. This move will lift the majority of remaining #COVID19 public health restrictions, and will mean some changes to our operations on our #UWaterloo campuses. 

Learn more: https://t.co/6eD5mtvaMa https://t.co/4BfaZHxhNR",0,3,0,0,1,0,1,2,0,4,"positive",4
"73","University of Waterloo","Lifelong learning program equips CPAs for industry disruption and a technology-driven future. Professions, such as those in accounting and finance, are facing complex challenges that require professionals to adapt and upskill to succeed.

Read more: https://t.co/goSWFejBTI https://t.co/g9XczU4YLJ",1,1,0,1,1,0,2,1,1,4,"positive",3
"74","University of Waterloo","#UWaterloo will have pop-up booster clinics on campus on Monday and Wednesday. The clinic will be located in the Student Life Centre basement area, in the old W Store Location.

?? February 28th 1:30PM-3:45PM &amp; March 2nd 9:30AM-11:30AM. 

No appointment is required. https://t.co/HgNMpC8Whh",0,1,0,0,0,0,1,0,1,2,"positive",1
"75","University of Waterloo","#UWaterloo researchers have developed new technology to protect governments, businesses and other organizations from cyberattacks by monitoring for unusual power consumption.

Read this story: https://t.co/KwlTC5wLYY https://t.co/eBSwSQUwuX",0,0,0,0,0,0,0,0,0,2,"positive",2
"76","Waterloo Cybersecurity and Privacy Institute","RT @UWaterloo_CPI : It's not too late to sign up for our next CPI Talk ??

Learn how quantum computers are creating security risks and how we can mitigate them!

All ages are welcome! You do not need to know about quantum mechanics or cryptography to attend.

Sign-up: https://t.co/13Du6TCdAz https://t.co/6ZVVDOHROy",0,0,0,0,0,1,0,0,1,2,"positive",1
"77","University of Waterloo","#WelcomeBackWarriors! For some of you, this is the first time you've set foot on campus. For others, it's simply been too long. We wanted to ask how you're feeling now that it's been three full weeks since in-person classes resumed #UWaterloo and your responses delighted us! ???? https://t.co/bq3Dk6APjw",1,4,1,1,2,1,2,1,1,3,"positive",2
"78","Waterloo Environment","RT @envwaterloo : Will you join us as we build collaboratively in this #DecadeofAction? 
Register now: https://t.co/F0SXZ42wok

#TogetherEmsemble2022 #SDGs #SustainableDevelopment
@TogetherSDG @UWaterloo https://t.co/mWHhAjufRU",0,0,0,0,0,0,0,0,0,2,"positive",2
"79","University of Waterloo","#UWaterloo’s engineering Bionics Lab is a hub of innovation for interfaces and technologies that augment human capabilities. Professor Ning Jiang is fascinated with devices and technology that can enhance human health.

Read his story: https://t.co/TNqxV8eWTY | @WaterlooENG https://t.co/E1DJsM5ZEI",0,0,0,0,0,0,0,1,0,5,"positive",5
"80","University of Waterloo","Be sure to exercise caution if travelling in @WaterlooRegion overnight and into the morning as adverse weather conditions have been forecasted. ??

For any updates on campus closures, our #UWaterloo weather statement page is updated by 6am each day: https://t.co/NZmwugjT1K https://t.co/H1eK1olLvy",2,1,1,2,0,1,0,1,2,1,"negative",-1
"81","University of Waterloo","If you or someone you know is affected by this tragic event and need support, there is help available via @UW_Wellness: https://t.co/vli8QXig9m",0,0,0,0,0,0,0,0,1,0,"negative",-1
"82","University of Waterloo","Given the conflict in Ukraine, #UWaterloo offers its full support to any students, staff or faculty who may be affected by these events. More so, we offer our deepest sympathy to those who may be dealing with the loss of a friend, research colleague or family member in Ukraine. https://t.co/cxQxZzOt0E",2,0,0,2,1,3,0,2,2,5,"positive",3
"83","University of Waterloo","Event: Anansi and Di Snowstorm:  Performance with Ujima: Black History Month &amp; Beyond at #UWaterloo.

Time: Saturday, February 26 - 10:00am - 11:00am

Register here: https://t.co/JXxMdl8PLt |  #UjimaBHM #BlackHistoryMonth | @WaterlooLibrary https://t.co/2mh3brX1RD",0,1,0,0,0,1,0,0,1,0,"negative",-1
"84","University of Waterloo","Engineering professor, Sebastian Fischmeister takes new cybersecurity technology out of the lab and into the real world. His approach is to help protect Ontario municipalities from costly, disruptive cyberattacks.

Read more: https://t.co/e9RuLIQzN1 https://t.co/fnXOeqWd2B",0,0,0,0,0,0,0,2,0,4,"positive",4
"85","Vivek Goel","RT @UWaterlooPres : Thank you Minister @RaymondChoPC  and MPP 
@mikeharrisjrpc for an important investment in 
@ONAccessibility. Through the EnAbling Change Program we can continue our work in building more accessible and inclusive post-secondary campuses and beyond.

https://t.co/QlshH0rvgt",0,1,0,1,0,0,0,2,0,5,"positive",5
"86","UW Campus Wellness","RT @UW_Wellness : It's Pink Shirt Day (or Anti-Bullying Day)! Today we wear a pink shirt to symbolize a stand against bullying and to come together to promote kindness and inclusivity. Here are some tips on how you can help a friend in need. https://t.co/L0SFiRBcbF",0,0,0,0,1,0,0,2,1,2,"positive",1
"87","University of Waterloo","March 8 marks International Women’s Day, a global observance that celebrates the social, economic, cultural and political achievements of women. Join  #UWaterloo as we celebrates through a virtual #InternationalWomensDay keynote and panel discussion.

?? https://t.co/CaHst7JEuQ https://t.co/5QSfPooWE6",0,0,0,0,0,0,0,0,0,4,"positive",4
"88","University of Waterloo","Chris Wilson (BSc '21) walks us through his process from biochemistry student to cultural designer, including what he had to let go. 

More: https://t.co/0Lud20X8Uw https://t.co/aJn82vk3co",0,0,0,0,0,0,0,0,0,2,"positive",2
"89","University of Waterloo","#UWaterloo will have pop-up booster clinics on campus next week. The clinic will be located in the Student Life Centre basement area, in the old W Store Location.

?? Feb 23 from 9:30AM – 11:30AM &amp; Feb 24 from 1:30PM – 3:45PM

Any questions please email coronavirus@uwaterloo.ca https://t.co/KnsgNyzKjk",0,1,0,0,0,0,1,0,1,1,"neutral",0
"90","University of Waterloo","#UWaterloo has been designated Research University of the Year in the Canadian universities comprehensive tier by Research Infosource Inc. for the 14th consecutive year. 

Read more: https://t.co/Mp7RSHPf6u | #UWaterlooProud https://t.co/QFaQLKP4pL",0,1,0,0,0,0,0,0,0,2,"positive",2
"91","University of Waterloo","Cassie Myers, the founder and CEO of Lunaria, uses data to advance diversity, equity and inclusion to help organizations create workplaces where people of all identities can flourish. 

Read her story: https://t.co/GDvXX5SwEp |  #UjimaBHM #BlackHistoryMonth https://t.co/WqoHmmR0EX",0,1,0,1,2,0,1,1,0,3,"positive",3
