,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,
Western University,Western University,,,,,,,,,,,,2022-01-08T15:41:18.000Z,Sat Jan 08 15:41:18 +0000 2022,97,The #WesternU vaccination and testing centre is accepting walk-ins for vaccination and boosters today. Open until 1pm.,52,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,1,0,,,
Western Libraries,Western University,,,,,,,,,,,,2022-01-08T11:09:01.000Z,Sat Jan 08 11:09:01 +0000 2022,0,"RT @westernulibs : So grateful for Jacob, Ken and the entire Facilities Mgmt team for helping keep the libraries and #WesternU safe and healthy. https://t.co/SnUk2G3FnO",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://twitter.com/westernuFM/status/1478819058405552143 ,1,0,,,
Western University,Western University,,,,,,,,,,,,2022-01-07T21:15:21.000Z,Fri Jan 07 21:15:21 +0000 2022,50,The #WesternU community is mourning the sudden loss of another @WesternMustangs football legend this week. #ldnont https://t.co/NXdg8nE6qk,8,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://twitter.com/WesternMustangs/status/1479558908603736068 ,2,1,,,
Western University,Western University,,,,,,,,,,,,2022-01-07T19:05:05.000Z,Fri Jan 07 19:05:05 +0000 2022,12,"Egyptian pharaoh Amenhotep I, the only royal mummy to have remained unwrapped for 3,000 years, has been an enduring mystery. Now renowned, #WesternU-trained paleoradiologist @Saharsaleem1 has used CT scans to virtually unwrap the king. @WesternAnthro https://t.co/bhDORrAPNS",3,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2022/01/western-trained-egyptologist-unwraps-mummy-mystery/ ,1,2,,,
Western University,Western University,,,,,,,,,,,,2022-01-07T18:05:03.000Z,Fri Jan 07 18:05:03 +0000 2022,22,"Know an Ontario high school student who’s thinking about applying to Western? The deadline to apply is next Thursday, January 13! 

Visit https://t.co/pTM1jZrjOL for more! ?? 

#WesternU #ChooseWesternU #PurpleandProud #OntarioUniversities https://t.co/OObH63TVDb",17,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,http://welcome.uwo.ca ,4,0,photo,https://pbs.twimg.com/media/FIhKiWNXoAM7cy7.jpg,
Faculty of Information & Media Studies (FIMS),Western University,,,,,,,,,,,,2022-01-07T17:17:02.000Z,Fri Jan 07 17:17:02 +0000 2022,0,"RT @westernuFIMS : Mark your calendars! ?

Journalist @kylejeddie presents the @westernuFIMS 2022 Clissold Lecture, ""Challenging What's Newsworthy: Reporting on Indigenous Communities in a Post-Covid World.""

?? Thurs. Jan. 20
? 7pm
?? Zoom

?? https://t.co/sFeTu30kVd @WesternU @WesternUMMJC https://t.co/MqIKY8AUMk",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://fb.me/e/2XUl5YBPa ,0,4,photo,https://pbs.twimg.com/media/FIghZ69WQAkuJXJ.jpg,
Western University,Western University,,,,,,,,,,,,2022-01-07T16:15:00.000Z,Fri Jan 07 16:15:00 +0000 2022,13,#WesternU professor Ian Cunningham is helping to address #malaria in #Uganda through a research project to develop low-cost microscopes for early detection of the disease. @AWB_USF @SchulichMedDent @westernuIntl https://t.co/4vQTKe2VFc,10,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2022/01/making-low-cost-microscope-for-early-malaria-detection/ ,3,3,,,
Western University,Western University,,,,,,,,,,,,2022-01-07T12:08:01.000Z,Fri Jan 07 12:08:01 +0000 2022,38,"Supported by @GovCanHealth, #WesternU researchers will lead the way in developing the first free, Canada-wide app to help survivors of domestic violence find a path to safety and health. @westernuFHS https://t.co/NmidSJuRYk",13,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2022/01/western-to-develop-national-anti-violence-app/ ,1,2,,,
Western University,Western University,,,,,,,,,,,,2022-01-07T00:33:01.000Z,Fri Jan 07 00:33:01 +0000 2022,22,Craving potato chips? Go for a run instead. Research from #WesternU suggests exercising can help tell our brain to avoid junk food. This @ConversationCA piece from @cassandra_lowe @Brains_CAN explains. https://t.co/jxsdkUdUei,8,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2022/01/expert-insights-how-exercise-can-curb-your-junk-food-craving/ ,1,3,,,
Ontario's Universities,Western University,,,,,,,,,,,,2022-01-07T00:33:01.000Z,Fri Jan 07 00:33:01 +0000 2022,0,"RT @OntUniv : To help in the fight against new COVID-19 variants, researchers at @WesternU have developed a novel approach to creating an #OntarioMade vaccine that could produce stronger and longer lasting immunity. #ONpoli https://t.co/OxDuaToTPq",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://ontariosuniversities.ca/stories/researchers-work-on-developing-covid-19-vaccine ,2,1,,,
The Agenda | TVO,Western University,,,,,,,,,,,,2022-01-06T23:23:01.000Z,Thu Jan 06 23:23:01 +0000 2022,0,"RT @TheAgenda : ""We somehow like to divorce education and the economy, and that is a fundamentally dangerous thing."" — @PrachiSrivas (@WesternU, @McGillU) on school closures, at 8/11pm with @Anniekidder (@PeopleforEd), @calphonso (@globeandmail), and @namshine | Producer: @meredithmartin #onted https://t.co/fTwqR3jvp7",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,1,9,video,https://video.twimg.com/amplify_video/1479179899600613379/vid/640x360/643xwxI_5nyhDrle.mp4?tag=14,
Western University,Western University,,,,,,,,,,,,2022-01-06T18:59:48.000Z,Thu Jan 06 18:59:48 +0000 2022,10,"#WesternU classes resume Jan 10 – order your textbooks through @booksatwesternu’s online portal. ?? Your order can be shipped or choose in-store pickup. Due to provincial restrictions, there is limited capacity &amp; hours for in-store shopping. See https://t.co/sCzXi8oEVE for info. https://t.co/3SN7hhgmzm",2,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,http://bookstore.uwo.ca ,1,1,photo,https://pbs.twimg.com/media/FIcNea_X0AIyQ-1.jpg,
Schulich WesternU,Western University,,,,,,,,,,,,2022-01-06T18:15:07.000Z,Thu Jan 06 18:15:07 +0000 2022,0,"RT @SchulichMedDent : Can we develop better brain imaging for precision medicine? Ali Khan (@neuroak) is developing computational techniques to better analyze and assess images of the brain, with the goal of improving diagnostic accuracy and surgical interventions.

#ResearchMatters 
#ResearchInAction https://t.co/cVyyLla6a4",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,2,1,video,https://video.twimg.com/amplify_video/1478799940138815495/vid/320x320/slgbYSHfiZs6a4v0.mp4?tag=14,
Western University,Western University,,,,,,,,,,,,2022-01-06T16:13:53.000Z,Thu Jan 06 16:13:53 +0000 2022,69,"With limited #PCR testing in Ontario, it's become tougher to know the full picture of #COVID19 infection. Now a #WesternU student is helping fill the data void with a website inviting Ontarians to input the results of their #RapidTests. @ElliotHegel https://t.co/iOhuc6nFUI",20,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2022/01/students-website-logs-rapid-test-results/ ,4,1,,,
Western History Dept,Western University,,,,,,,,,,,,2022-01-06T12:08:01.000Z,Thu Jan 06 12:08:01 +0000 2022,0,"RT @westernuHistory : Join us on Thursday, January 20th at 12:30pm (ET) as we welcome Prof. Jordan Stanger-Ross, Professor of History and Provost's Engaged Scholar, University of Victoria to our Research Seminar Series via zoom. https://t.co/7hVk5WRnUu",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FIXUCS_WYAwyuQb.jpg,
Ivey Business School,Western University,,,,,,,,,,,,2022-01-06T01:56:01.000Z,Thu Jan 06 01:56:01 +0000 2022,0,"RT @iveybusiness : Attention second and third year @WesternU students! The deadline to apply for Ivey's Women in Asset Management program has been extended to January 17, 2022. The program is also now open to third year students. Learn more and apply here:",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,0,1,,,
Western University,Western University,,,,,,,,,,,,2022-01-06T00:33:00.000Z,Thu Jan 06 00:33:00 +0000 2022,31,Remembering @WesternMustangs legend Darwin Semotiuk. #westernu #ldnont https://t.co/fANezGtqxz,3,in,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2022/01/western-remembers-sports-legend-darwin-semotiuk/ ,2,1,,,
Network for Economic and Social Trends (NEST),Western University,,,,,,,,,,,,2022-01-05T23:09:01.000Z,Wed Jan 05 23:09:01 +0000 2022,0,"RT @westernuNEST : Do you want to know more about our MA program? Join us for this interactive session!

?? Friday, January 21st, 2022
?? 1:00 to 2:00 P.M. (EST)

Register ?? https://t.co/pbwkKD7dfT
Program details ?? https://t.co/TofFCEuanI https://t.co/VzopjhkP14",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://bit.ly/3ozz64w https://bit.ly/3EU6dG1 ,0,0,photo,https://pbs.twimg.com/media/FGqwTVdXMAwkmR4.jpg,
Western University,Western University,,,,,,,,,,,,2022-01-05T15:44:01.000Z,Wed Jan 05 15:44:01 +0000 2022,7,"They’ve used their skills at a kids' boat-building camp, in municipal planning and at social agencies. Every year, the 2,500+ #WesternU students whose courses include community-engaged learning show why #CEL is a win-win for all. @westernuSE #ldnont #onpse https://t.co/xFsjsUYSEJ",4,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2022/01/community-engaged-learning-stories/ ,4,1,,,
Western University,Western University,,,,,,,,,,,,2022-01-05T11:56:36.000Z,Wed Jan 05 11:56:36 +0000 2022,46,The #WesternU community mourns the loss of beloved @WesternMustangs legend Darwin Semotiuk. #ldnont https://t.co/XPnAgPTuj1,7,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://twitter.com/WesternMustangs/status/1478563376724914177 ,2,1,,,
Western University,Western University,,,,,,,,,,,,2022-01-05T00:22:01.000Z,Wed Jan 05 00:22:01 +0000 2022,20,Congratulations Oz! #purpleandproud #westernu https://t.co/UPWzgqifxg,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://twitter.com/drcrater/status/1478474250709262336 ,2,0,,,
Ivey Business School,Western University,,,,,,,,,,,,2022-01-04T23:23:01.000Z,Tue Jan 04 23:23:01 +0000 2022,0,"RT @iveybusiness : ""Returns are inevitable, but trashing those returns doesn’t have to be."" In her latest piece for @Forbes Ivey's @TimaBansal shares how some companies are offering solutions that are both lucrative and sustainable.
https://t.co/twJ3ZoC3HK
#sustainability #circulareconomy",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://www.forbes.com/sites/timabansal/2021/12/26/what-happens-to-returned-holiday-gifts/?sh=531a4c5d383f ,2,2,,,
The Agenda | TVO,Western University,,,,,,,,,,,,2022-01-04T22:07:20.000Z,Tue Jan 04 22:07:20 +0000 2022,0,"RT @TheAgenda : As we face yet another month of this pandemic, how can we confront COVID fatigue? Tonight @spaikin speaks with @david_dozois (@Dozois_Mood_Lab), professor of psychology at @westernu, at 8/11pm | Producer: @Mariasarrouh https://t.co/IWPjMGS9Wi",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,0,5,video,https://video.twimg.com/amplify_video/1478482767423979524/vid/1280x720/Lg3asixLy6SSoo7w.mp4?tag=14,
Western University,Western University,,,,,,,,,,,,2022-01-04T20:30:17.000Z,Tue Jan 04 20:30:17 +0000 2022,17,Congratulations to eight @westernualumni appointed to the #OrderofCanada by @GGCanada. We are #purpleandproud! #GGHonours #westernu ???? https://t.co/BRxB8C3zLO,6,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2022/01/order-of-canada-honours-for-alumni/ ,4,2,,,
Housing at Western,Western University,,,,,,,,,,,,2022-01-04T18:22:01.000Z,Tue Jan 04 18:22:01 +0000 2022,0,"RT @westernuhousing : From 4:30 p.m. on January 3 to January 27, Ontario Hall, Saugeen-Maitland Hall and Sydenham Hall dining halls will open daily from 7:30 a.m. to 7:30 p.m. Seating areas will be closed, so students staying in residence are encouraged to enjoy their meals in their rooms. #westernu https://t.co/K7LyXfSIt0",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://twitter.com/WesternU/status/1478104133127356422 ,1,0,,,
Western BrainsCAN,Western University,,,,,,,,,,,,2022-01-04T17:22:02.000Z,Tue Jan 04 17:22:02 +0000 2022,0,"RT @Brains_CAN : Starting an exercise routine this year? BrainsCAN Postdoctoral Fellow, @cassandra_lowe explains how you can't outrun your fork, but you can use exercise to boost brain plasticity, improving your ability to resist junk foods. Article via @ConversationCA. https://t.co/J9X5ooi2Bc",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://theconversation.com/you-cant-outrun-your-fork-but-that-doesnt-mean-exercise-cant-help-you-lose-weight-or-change-your-diet-173541 ,0,2,,,
Universities Canada | Universités Canada,Western University,,,,,,,,,,,,2022-01-03T23:23:01.000Z,Mon Jan 03 23:23:01 +0000 2022,0,"RT @univcan : Working towards a solution ??

A team @WesternU is developing a novel approach towards making a #COVID19 #vaccine that appears to have powerful antibodies in the early testing stage!

Read more about the developing vaccine with promising results here ?? https://t.co/ntOiu912Xt",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://bit.ly/32nKeJr ,2,1,,,
Western University,Western University,,,,,,,,,,,,2022-01-03T20:41:01.000Z,Mon Jan 03 20:41:01 +0000 2022,40,"As #WesternU re-opens Tuesday, January 4, and we prepare for the restart of classes and make-up exams on January 10, the health and safety of our campus community remains our top priority. Read the latest COVID-19 update.
https://t.co/bpd63I55qf",54,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://www.uwo.ca/coronavirus/updates/jan3-2022.html ,1,0,,,
Western University,Western University,,,,,,,,,,,,2022-01-03T17:49:39.000Z,Mon Jan 03 17:49:39 +0000 2022,0,@termsofproof Dec 30 the Ont government provided a directive stating health units are no longer doing COVID-19 PCR tests. This means individuals who have symptoms are presumed to be infected with COVID-19 &amp; should self-isolate immediately for 5 days. Reach out to vaxinfo@uwo.ca for questions.,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,
Western University,Western University,,,,,,,,,,,,2022-01-03T13:35:48.000Z,Mon Jan 03 13:35:48 +0000 2022,2,@ElliotHegel Hi Elliot! Our team is interested in getting in touch with you for a Western News story. You can reach them at western.news@uwo.ca. Thanks!,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,
Western University,Western University,,,,,,,,,,,,2022-01-02T16:47:01.000Z,Sun Jan 02 16:47:01 +0000 2022,26,"It's a critical moment in #payequity history with the convergence of #MeToo and #COVID19. Read how @westernuAlumni Erin McCloskey, @kadiejeanward and Ayumi Bailly are positioned to make a difference @OntPayEquity: #westernu #onpoli #purpleandproud https://t.co/tT0Anz0LNU",3,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://alumni.westernu.ca/alumni-gazette/fall-2021/fairs-fair.html ,6,3,,,
Western University,Western University,,,,,,,,,,,,2022-01-01T01:56:03.000Z,Sat Jan 01 01:56:03 +0000 2022,74,"Happy New Year’s Eve to everyone celebrating tonight.  

As 2021 comes to a close, we wish continued safety, happiness and health to the #WesternU community. https://t.co/igcGldVkQ1",9,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FH-zNbNXEAEr5I7.jpg,
MLHealthUnit,Western University,,,,,,,,,,,,2021-12-31T21:01:00.000Z,Fri Dec 31 21:01:00 +0000 2021,0,"RT @MLHealthUnit : In response to yesterday’s announcement from Ontario’s Chief Medical Officer of Health, #MLHU will be following the Province’s updated COVID-19 testing and isolation guidance and will also be changing how it reports and manages new cases. 
#LdnOnt #Middlesex
/1",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,3,0,,,
Western University,Western University,,,,,,,,,,,,2021-12-31T17:31:15.000Z,Fri Dec 31 17:31:15 +0000 2021,35,More information will be shared with the #WesternU community shortly.,4,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,1,0,,,
Western University,Western University,,,,,,,,,,,,2021-12-31T17:31:14.000Z,Fri Dec 31 17:31:14 +0000 2021,266,"President Alan Shepard has experienced an unexpected cardiac issue requiring immediate attention and a leave of absence. 

Sarah Prichard, interim provost and vice-president (academic), will be acting president for the coming weeks.",38,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,,,
Public History,Western University,,,,,,,,,,,,2021-12-30T18:15:01.000Z,Thu Dec 30 18:15:01 +0000 2021,0,RT @westernupubhist : Our #publichistory research with the #VisionSoHoAlliance affordable housing project in #LdnOnt's #SoHo area made @WesternU's Year in Review! We are curating historical signage for the old #VictoriaHospital grounds.  https://t.co/ysmg3ZD84V @LdnCommFdn @westernuHistory https://t.co/9PapNJ8FQe,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://bit.ly/3EHukXE ,5,3,photo,https://pbs.twimg.com/media/FH3OC-1XIAEF-t5.jpg,
Western University,Western University,,,,,,,,,,,,2021-12-29T18:22:01.000Z,Wed Dec 29 18:22:01 +0000 2021,27,"Hard-won victories on the field and in the labs; bold steps to improve equity, the environment, the ecosystem of education itself. 2021 has been a year of big themes, bold vision for #WesternU. #ldnont #onpse #cdnpse https://t.co/ikbkSYvuj6",26,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2021/12/westerns-notable-quotable-year-in-review/ ,4,0,,,
Western University,Western University,,,,,,,,,,,,2021-12-29T17:37:00.000Z,Wed Dec 29 17:37:00 +0000 2021,6,"Show today’s #WesternU students you are in their corner. Donate by Dec. 31 to receive a 2021 donation receipt. 

#purpleandproud #ldnont",3,en,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",Tweet,,3,0,,,
Western University,Western University,,,,,,,,,,,,2021-12-29T14:02:00.000Z,Wed Dec 29 14:02:00 +0000 2021,7,"This is Sierra and Shaunna-Rae's story. They share how their work with @OptimismPlace enabled them to develop transferable skills, professional connections, and clarity on how they can use their Arts degrees in future careers. What stories will you tell? https://t.co/ZrnlrFWgxA https://t.co/LltPncRjsj",2,en,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",Tweet,http://experience.uwo.ca/students/inmyexperience ,0,1,video,https://video.twimg.com/amplify_video/1471189745229340679/vid/480x270/HRPRvzzCZxWPz-G1.mp4?tag=14,
Western Mustangs,Western University,,,,,,,,,,,,2021-12-28T23:23:00.000Z,Tue Dec 28 23:23:00 +0000 2021,0,"RT @WesternMustangs : ??Mustangs mourn the passing of former Men’s Soccer Coach Rock Basacco. 
??https://t.co/mITBK2ftXV 
#AlwaysAMustang #WesternMustangs @WesternU",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://westernmustangs.ca/news/2021/12/26/mustangs-mourn-former-mens-soccer-coach-rock-basacco.aspx ,2,1,,,
Western University,Western University,,,,,,,,,,,,2021-12-28T17:22:05.000Z,Tue Dec 28 17:22:05 +0000 2021,9,"For @westernualumni Quinn Rockliff, art became a means for expressing emotion and reclaiming a part of herself once stripped away. @westernuFIMS #westernu #purpleandproud
https://t.co/khOecpYY8T",4,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://alumni.westernu.ca/alumni-gazette/fall-2021/body-of-work.html ,2,2,,,
Western Mustangs,Western University,,,,,,,,,,,,2021-12-27T19:18:45.000Z,Mon Dec 27 19:18:45 +0000 2021,0,"RT @WesternMustangs : Congrats to @westernuFB alum @Lirim_70 who stepped into the @Panthers lineup today and converted his first @NFL points.
#AlwaysAMustang #RunWithUs #WesternMustangs https://t.co/hW4uYk6ESW",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,3,4,photo,https://pbs.twimg.com/media/FHkvJxRWYAIF0G3.jpg,
"????Ravi Menon, FCAHS, FRSC ????",Western University,,,,,,,,,,,,2021-12-26T21:19:00.000Z,Sun Dec 26 21:19:00 +0000 2021,0,RT @northernthrux : Once a year I like to make a pilgrimage to the farm of the man who started it all for me ?@WesternU? ?@SchulichMedDent? ?@LHSCCanada? . In 1994 Mac Cuddy made the lead gift to build ?@WesternCFMM?. Hence the name A.M. Cuddy Wing on the building. ???? Mac ?? https://t.co/Wpt8oYfsl8,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,0,4,photo,https://pbs.twimg.com/media/FHjmixdXIAQ0LXj.jpg,
Western University,Western University,,,,,,,,,,,,2021-12-26T15:04:04.000Z,Sun Dec 26 15:04:04 +0000 2021,28,"Today, #WesternU wants to wish those who are celebrating a safe and joyous #Kwanzaa. https://t.co/t5SLqz0kYg",6,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,2,0,photo,https://pbs.twimg.com/media/FHiuCLiWQAgUVYu.jpg,
Western University,Western University,,,,,,,,,,,,2021-12-25T14:09:05.000Z,Sat Dec 25 14:09:05 +0000 2021,62,"Merry Christmas to those members of the #WesternU community celebrating today. We wish you a safe, comforting, and happy Christmas season. https://t.co/ITS2TnftIJ",4,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FHdX26EXwAAXMKq.jpg,
MLHealthUnit,Western University,,,,,,,,,,,,2021-12-24T23:23:00.000Z,Fri Dec 24 23:23:00 +0000 2021,0,"RT @MLHealthUnit : As we enter the holiday break, take some much-needed time to rest and relax. Things are changing quickly, including public health guidance, and we know this is difficult. We feel it too. Please stay safe. ?? #LdnOnt #Middlesex /1",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,2,0,,,
Gameday London,Western University,,,,,,,,,,,,2021-12-24T00:33:01.000Z,Fri Dec 24 00:33:01 +0000 2021,0,"RT @GamedayLondonOn : The Olympic champ, @DamianWarner:
“I’m the only athlete out there but I very much have a team. There are a lot of people who make results like the one I had this summer possible.”
Like @GarLeyshon, @jfischersports, @LondonWesternTF, @WesternU and more.
https://t.co/e21HoUAaPx",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://www.gamedaylondon.com/stories/warner-londons-humble-grateful-champion ,0,5,,,
Western University,Western University,,,,,,,,,,,,2021-12-23T23:23:01.000Z,Thu Dec 23 23:23:01 +0000 2021,9,"Stitch by stitch, three generations of @westernuAlumni created a #quilt that celebrates family, memories and a granddaughter's three years on the @CheerWestern team. #purpleandproud @WesternMustangs #westernu https://t.co/9GaG1yhfs6",2,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2021/12/stitching-together-western-memories/ ,3,3,,,
Western University,Western University,,,,,,,,,,,,2021-12-23T17:31:06.000Z,Thu Dec 23 17:31:06 +0000 2021,6,"This giving season, create a brighter, bolder future for #WesternU students and researchers by supporting the area on campus that is most meaningful to you. ??
#purpleandproud #ldnont",3,en,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",Tweet,,3,0,,,
MLHealthUnit,Western University,,,,,,,,,,,,2021-12-23T14:06:01.000Z,Thu Dec 23 14:06:01 +0000 2021,0,"RT @MLHealthUnit : #MLHU is reporting 228 new cases today, the highest daily increase in new local COVID-19 cases since the pandemic began 21 months ago.

It’s clear. COVID-19 is circulating very quickly and widely in #Middlesex-#LdnOnt /1",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,3,0,,,
Ivey Business School,Western University,,,,,,,,,,,,2021-12-23T01:56:00.000Z,Thu Dec 23 01:56:00 +0000 2021,0,"RT @iveybusiness : Ivey's Lauren Cipriano was interviewed by CBC's @LondonMorning today to discuss the current COVID-19 situation in Ontario, how the hospital system will be affected, and how people can stay safe this holiday season.",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,0,1,,,
Western International,Western University,,,,,,,,,,,,2021-12-23T00:33:01.000Z,Thu Dec 23 00:33:01 +0000 2021,0,RT @westernuIntl : We know it can be hard to stay updated on the restrictions and guidelines related to travel. We'll continue to add government updates and other important information to the arrivals website over the holiday break. https://t.co/pNQkZV7nh6 @WesternU @westernsogs  @WesternUSC https://t.co/9U3dNbNRcI,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,http://iesc.uwo.ca/internationalarrival ,0,3,photo,https://pbs.twimg.com/media/FHOU4gdWQAkcSPE.jpg,
Western University,Western University,,,,,,,,,,,,2021-12-22T20:17:44.000Z,Wed Dec 22 20:17:44 +0000 2021,1,?? The Vaccination &amp; Testing Centre reopens January 3 for pre-booked appointments only. Details on eligibility and centre hours will be shared in the new year.,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,,,
Western University,Western University,,,,,,,,,,,,2021-12-22T20:17:43.000Z,Wed Dec 22 20:17:43 +0000 2021,1,?? January hours of operation for Hospitality Services will be communicated in the coming weeks. Follow @westernufood for the latest updates.,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,
Western University,Western University,,,,,,,,,,,,2021-12-22T20:17:43.000Z,Wed Dec 22 20:17:43 +0000 2021,2,?? Students will be welcomed back to residence between January 27-30. Returning students will need to log into the myHousing Portal and register a return date and time during this period. Follow @westernuhousing for more info.,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,
Western University,Western University,,,,,,,,,,,,2021-12-22T20:17:42.000Z,Wed Dec 22 20:17:42 +0000 2021,2,"?? @westernureg and all @westernulibs reopen January 4. 
?? @Western_Rec reopens Monday, January 10. 
?? Classes resume virtually January 10.",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,3,,,
Western University,Western University,,,,,,,,,,,,2021-12-22T20:17:42.000Z,Wed Dec 22 20:17:42 +0000 2021,2,"For mental health and crisis support, you can call the following services any day, any time, even while the University is closed: Reach Out at 519-433-2023 and Good2Talk at 1-866-925-5454.",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,,,
Western University,Western University,,,,,,,,,,,,2021-12-22T20:17:41.000Z,Wed Dec 22 20:17:41 +0000 2021,34,"On the last day of exams, Meisha Shepard-Powell is wishing all of our Mustangs a happy and safe holiday season! A reminder that #WesternU – including the Western Student Recreation Centre and campus libraries – is closed for the holidays beginning on December 23. https://t.co/pRqrrbYfVk",7,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,0,video,https://video.twimg.com/ext_tw_video/1473729732382445578/pu/pl/q-40tZAyQUNteVZ4.m3u8?tag=12&container=fmp4,
